Date,Country,City
2017-05-28 00:05:37,India,Chhoti Sādri
2018-04-17 06:23:14,India,Nawābganj
2016-01-12 05:37:13,Brazil,Nova Hartz
2016-02-05 16:35:43,France,Porte Saint-Martin
2017-03-27 02:35:35,Brazil,São Gonçalo do Amarante
2024-08-09 03:00:13,Brazil,Leme
2019-08-11 08:10:25,Germany,Kaarst
2017-03-13 04:46:59,India,Qadian
2020-09-15 16:53:18,United Kingdom,Lisburn
2025-07-30 17:06:14,Germany,Haselhorst
2023-06-14 17:30:41,Japan,Midori
2022-07-10 02:43:59,Brazil,Schroeder
2016-04-04 05:13:32,United Kingdom,Ilford
2023-05-10 06:07:35,France,Brest
2022-08-24 19:12:10,Brazil,Icó
2020-06-21 17:32:53,France,Villeneuve-Saint-Georges
2016-03-30 01:51:03,Australia,Buderim
2025-01-03 02:04:45,United States,West Des Moines
2018-04-29 09:17:26,India,Periyakottai
2018-08-28 23:06:48,India,Ābu Road
2016-06-28 15:19:59,Japan,Miyakonojō
2015-12-04 01:58:48,Spain,Galdakao
2020-01-23 10:24:44,Australia,Rochedale South
2025-02-10 01:53:55,United States,Back Bay
2022-04-19 02:00:48,Brazil,Ribeirópolis
2024-03-15 17:21:53,Australia,Duncraig
2023-03-10 18:13:50,Japan,Saikū
2020-03-14 20:07:33,Brazil,Maragogi
2020-11-18 19:56:42,Mexico,Santa Rosa Jáuregui
2024-09-23 17:24:58,Mexico,San Jorge Pueblo Nuevo
2015-11-15 09:47:48,India,Nīsang
2017-06-23 12:04:29,India,Bilāsipāra
2024-07-26 18:42:15,Australia,Saint Ives
2025-01-21 01:27:28,United Kingdom,Longsight
2024-08-08 02:49:59,United Kingdom,Marple
2023-10-09 03:19:27,United Kingdom,Bexhill-on-Sea
2022-12-13 21:19:40,Spain,Boiro
2022-06-15 20:45:07,Brazil,Freguesia do Ó
2024-05-28 23:30:55,India,Nainpur
2021-08-30 01:35:25,Japan,Ono
2023-12-14 13:15:18,India,Tirur
