ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
www.garciabutlerfashion.net,TXN5266310,Y,
www.jarvismarket.io,TXN3225908,Y,
www.carpenterfashion.net,TXN5992808,N,Network Error
www.wisedeals.in,TXN9861556,Y,
www.smithkingtech.com,TXN2719326,Y,
www.lanemorenostore.io,TXN7843544,Y,
www.rangelrussellshop.com,TXN2852511,Y,
www.nguyenshop.com,TXN6667752,Y,
www.churchbuchananshop.io,TXN7129521,Y,
www.ochoashop.com,TXN5442525,Y,
www.bakermart.net,TXN2566587,Y,
www.williamsstore.com,TXN1717145,N,Card Declined
www.hallfitzgeraldshop.in,TXN6948759,N,Insufficient Funds
www.morganwoodtech.in,TXN6617359,Y,
www.steelediazshop.co,TXN9831187,Y,
www.wrightstore.io,TXN3582245,Y,
www.barkermart.in,TXN9942731,Y,
www.robertsdeals.io,TXN1801725,N,Network Error
www.coxmarket.io,TXN2303419,Y,
www.millsandrewsdeals.io,TXN7134178,Y,
www.wardfashion.co,TXN8906283,Y,
www.perezaguilartech.net,TXN8283868,Y,
www.murphyshop.in,TXN8745300,Y,
www.kleintech.in,TXN7085132,Y,
www.lawrencetech.in,TXN8818078,N,Expired Card
www.aguilarlewisshop.net,TXN5647536,Y,
www.collinsshop.com,TXN1639046,Y,
www.lefashion.co,TXN1043671,Y,
www.martinstore.in,TXN8027009,Y,
www.andersonfashion.io,TXN2802783,N,Card Declined
www.martinezshop.net,TXN2282310,Y,
www.owenstech.com,TXN5268870,Y,
www.gillramirezmart.com,TXN6627682,Y,
www.howelltech.com,TXN6008321,Y,
www.quinnsheatech.co,TXN1027997,Y,
www.hallmarket.net,TXN2777777,Y,
www.smithtech.co,TXN4791462,Y,
www.tannerlogandeals.net,TXN7750423,Y,
www.graymart.com,TXN6922659,Y,
www.williamsonmaciasstore.in,TXN8894738,Y,
www.deleonhoffmanshop.io,TXN8475564,Y,
www.kiddduncanmart.in,TXN5836835,Y,
www.jonesdeals.io,TXN8875611,Y,
www.martinezdeals.co,TXN4589720,Y,
www.davisfashion.io,TXN5549778,Y,
www.mitchellshop.io,TXN5099485,Y,
www.pollardtech.in,TXN5748845,Y,
www.jonestech.in,TXN4143841,Y,
www.mirandashop.co,TXN2572833,Y,
www.adamsmarket.co,TXN8243899,Y,
www.beasleydeals.net,TXN1692019,Y,
www.edwardsdeals.in,TXN3857637,Y,
www.brownsparksmarket.com,TXN3657420,Y,
www.stanleymart.co,TXN7248686,Y,
www.ericksontech.io,TXN9102026,Y,
www.reyesstore.io,TXN9967401,Y,
www.barrettdeals.co,TXN6436083,Y,
www.kleinellisshop.com,TXN8021141,Y,
www.valenciafashion.co,TXN3129299,Y,
www.caldwellcolemart.io,@#%,Y,
www.piercedeals.co,TXN3291949,Y,
www.mossdeals.in,TXN5029713,Y,
www.smithtech.co,TXN3149195,Y,
www.campbelldeals.co,TXN7097823,Y,
